Rignieux-le-Franc;45.933333;5.183333;1800
Saint-Alban;46.1;5.45;1450
Saint-Denis-en-Bugey;45.95;5.333333;1500
Sainte-Croix;;;1120
Sainte-Julie;45.883333;5.283333;1150
Saint-Eloi;45.933333;5.15;1800
Saint-Jean-de-Niost;45.833333;5.216667;1800
Saint-Jean-le-Vieux;;;1640
Saint-Martin-du-Frêne;46.133333;5.55;1430
Saint-Maurice-de-Gourdans;45.816667;5.2;1800
Saint-Maurice-de-Rémens;45.95;5.283333;1500
Saint-Sorlin-en-Bugey;45.883333;5.366667;1150
Saint-Vulbas;45.833333;5.283333;1150
Samognat;46.25;5.583333;1580
Sault-Brénaz;45.85;5.416667;1150
Serrières-sur-Ain;46.15;5.45;1450
Sonthonnax-la-Montagne;46.233333;5.533333;1580
Souclin;45.866667;5.416667;1150
Vaux-en-Bugey;45.916667;5.35;1150
Villebois;45.85;5.433333;1150
Villieu-Loyes-Mollon;;;1800
Ambléon;45.75;5.6;1300
Andert-et-Condon;45.8;5.65;1300
Anglefort;45.916667;5.808333;1350
Aranc;46;5.5;1110
Arandas;45.9;5.483333;1230
Arbignieu;45.733333;5.65;1300
Argis;45.933333;5.483333;1230
Armix;45.85;5.583333;1510
Artemare;45.866667;5.7;1510
Bellegarde-sur-Valserine;46.1;5.816667;1200
Belley;45.766667;5.683333;1300
Belmont-Luthézieu;;;1260
Bénonces;45.833333;5.483333;1470
Béon;45.833333;5.75;1350
Billiat;46.066667;5.783333;1200
Brégnier-Cordon;45.65;5.616667;1300
Brénaz;45.95;5.716667;1260
Brénod;46.066667;5.6;1110
Brens;;;1300
Briord;45.783333;5.466667;1470
Cessy;46.316667;6.066667;1170
Ceyzérieu;45.833333;5.733333;1350
Chaley;45.95;5.533333;1230
Challex;46.183333;5.966667;1630
Champagne-en-Valromey;45.9;5.683333;1260
Champdor;46.016667;5.6;1110
Champfromier;46.2;5.816667;1410
Chanay;46;5.783333;1420
Châtillon-en-Michaille;46.133333;5.783333;1200
Chavornay;45.883333;5.7;1510
Chazey-Bons;45.8;5.683333;1300
Cheignieu-la-Balme;45.833333;5.616667;1510
Chevillard;46.116667;5.583333;1430
Chevry;46.283333;6.033333;1170
Chézery-Forens;46.216667;5.883333;1200
Cleyzieu;45.9;5.433333;1230
Collonges;46.133333;5.9;1550
Colomieu;45.733333;5.616667;1300
Conand;45.883333;5.466667;1230
Condamine;46.116667;5.566667;1430
Confort;46.15;5.816667;1200
Contrevoz;45.8;5.633333;1300
Conzieu;45.733333;5.6;1300
Corbonod;45.95;5.816667;1420
Corcelles;46.033333;5.583333;1110
Corlier;46.033333;5.5;1110
Cormaranche-en-Bugey;45.95;5.6;1110
Cressin-Rochefort;45.766667;5.766667;1350
Crozet;;;1170
Culoz;45.85;5.783333;1350
Cuzieu;;;1300
Divonne-les-Bains;46.366667;6.133333;1220
Echenevex;46.316667;6.033333;1170
Evosges;45.958333;5.5;1230
Farges;46.166667;5.916667;1550
Ferney-Voltaire;46.25;6.116667;1210
Flaxieu;45.816667;5.733333;1350
Gex;46.333333;6.066667;1170
Giron;46.233333;5.766667;1130
Grilly;46.333333;6.116667;1220
Groslée;45.716667;5.566667;1680
Hauteville-Lompnes;45.966667;5.6;1110
Hostiaz;45.9;5.533333;1110
Hotonnes;46;5.683333;1260
Injoux-Génissiat;46.05;5.783333;1200
Innimond;45.783333;5.566667;1680
Izenave;46.033333;5.533333;1430
Izieu;45.65;5.633333;1300
La Burbanche;45.85;5.566667;1510
Lancrans;46.133333;5.833333;1200
Lantenay;46.05;5.533333;1430
Lavours;45.8;5.766667;1350
Léaz;46.1;5.883333;1200
Le Grand-Abergement;46.033333;5.666667;1260
Lélex;46.3;5.95;1410
Le Petit-Abergement;46.033333;5.65;1260
Lhôpital;;;1420
Lhuis;45.75;5.533333;1680
Lochieu;45.933333;5.716667;1260
Lompnas;45.8;5.516667;1680
Lompnieu;45.966667;5.65;1260
Magnieu;45.783333;5.716667;1300
Marchamp;45.783333;5.55;1680
Marignieu;45.8;5.716667;1300
Massignieu-de-Rives;45.75;5.766667;1300
Mijoux;46.366667;6;1170
Montagnieu;45.8;5.466667;1470
Montanges;46.166667;5.8;1200
Murs-et-Gélignieux;45.633333;5.666667;1300
Nattages;45.733333;5.766667;1300
Nivollet-Montgriffon;45.983333;5.433333;1230
Oncieu;45.95;5.466667;1230
Ordonnaz;45.833333;5.533333;1510
Ornex;46.283333;6.1;1210
Outriaz;46.066667;5.55;1430
Parves;45.75;5.75;1300
Péron;46.2;5.933333;1630
Peyrieu;;;1300
Plagne;46.183333;5.733333;1130
Pollieu;45.8;5.75;1350
Pougny;46.133333;5.95;1550
Prémeyzel;45.683333;5.65;1300
Prémillieu;45.866667;5.566667;1510
Prévessin-Moëns;46.25;6.083333;1280
Pugieu;45.816667;5.65;1510
Rossillon;45.833333;5.6;1510
Ruffieu;46;5.666667;1260
Saint-Benoît;45.7;5.583333;1300
Saint-Bois;45.7;5.633333;1300
Saint-Champ;45.783333;5.733333;1300
Saint-Genis-Pouilly;46.25;6.016667;1630
Saint-Germain-de-Joux;46.183333;5.733333;1130
Saint-Germain-les-Paroisses;45.766667;5.616667;1300
Saint-Jean-de-Gonville;46.216667;5.95;1630
Saint-Martin-de-Bavel;45.85;5.683333;1510
Saint-Rambert-en-Bugey;45.95;5.433333;1230
Sauverny;46.316667;6.116667;1220
Ségny;46.3;6.083333;1170
Seillonnaz;45.8;5.483333;1470
Sergy;46.25;6;1630
Serrières-de-Briord;;;1470
Seyssel;45,96;5,83;1420
Songieu;45.966667;5.7;1260
Surjoux;46.016667;5.8;1420
Sutrieu;45.95;5.65;1260
Talissieu;45.866667;5.716667;1510
Tenay;45.916667;5.5;1230
Thézillieu;45.883333;5.6;1110
Thoiry;;;1710
Torcieu;45.916667;5.4;1230
Versonnex;;;1210
Vesancy;46.35;6.083333;1170
Vieu;45.9;5.683333;1260
Vieu-d'Izenave;46.083333;5.533333;1430
Villes;46.083333;5.783333;1200
Virieu-le-Grand;45.85;5.65;1510
Virieu-le-Petit;45.9;5.716667;1260
Virignin;45.716667;5.716667;1300
